Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",116.400000,-78.600000,-90.000000,top
"C2","100n","C_0402_1005Metric",107.500000,-65.600000,-90.000000,top
"C3","100n","C_0402_1005Metric",104.220000,-74.000000,180.000000,top
"C4","100n","C_0402_1005Metric",94.900000,-65.500000,90.000000,top
"C5","100n","C_0402_1005Metric",98.920000,-62.100000,0.000000,top
"C6","10n","C_0402_1005Metric",94.100000,-71.000000,180.000000,top
"C7","1u","C_0402_1005Metric",94.100000,-72.000000,180.000000,top
"C8","1u","C_0402_1005Metric",93.700000,-73.600000,90.000000,top
"C9","22u","C_0805_2012Metric",112.200000,-70.500000,180.000000,top
"C10","22u","C_0805_2012Metric",108.400000,-70.400000,0.000000,top
"C11","100n","C_0402_1005Metric",96.500000,-74.000000,-90.000000,top
"C12","10p","C_0402_1005Metric",93.600000,-67.320000,-90.000000,top
"C13","10p","C_0402_1005Metric",93.600000,-69.480000,90.000000,top
"D1","RED","LED_0603_1608Metric",110.612500,-65.100000,180.000000,top
"FB1","120R","L_0603_1608Metric",95.100000,-74.100000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",120.500000,-66.750000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",113.710000,-55.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",100.800000,-55.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",95.490000,-79.400000,90.000000,top
"R1","1K5","R_0402_1005Metric",113.700000,-65.600000,-90.000000,top
"R2","10k","R_0402_1005Metric",96.800000,-63.300000,0.000000,top
"R3","1k5","R_0402_1005Metric",107.700000,-67.900000,90.000000,top
"R4","1k5","R_0402_1005Metric",99.000000,-75.300000,180.000000,top
"R5","1k5","R_0402_1005Metric",101.700000,-75.300000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",85.200000,-63.600000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",111.000000,-77.300000,180.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",101.200000,-68.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",90.200000,-68.300000,-90.000000,top
